generating_institute     gfz-potsdam
     generating_date     2021/08/19
        product_type     topography
                body     earth
           modelname     etopo1-2250
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north       14.170000000000    
      latlimit_south      -57.830000000000    
      longlimit_west       276.25000000000    
      longlimit_east       327.25000000000    
            gridstep       1.0000000000000    
  latitude_parallels            73
 longitude_parallels            52
number_of_gridpoints          3796
            gapvalue          99999.0000
       weighted_mean     -1.6588518E+03 meter
            maxvalue      5.2980000E+03 meter
            minvalue     -6.7580000E+03 meter
         signal_wrms      2.4289274E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
       317.250000      2.170000   -4290.60
       318.250000      2.170000   -4362.60
       319.250000      2.170000   -4406.40
       320.250000      2.170000   -4430.40
       321.250000      2.170000   -4471.20
       322.250000      2.170000   -4301.20
       323.250000      2.170000   -3992.20
       324.250000      2.170000   -4213.40
       325.250000      2.170000   -3885.40
       326.250000      2.170000   -3823.60
       327.250000      2.170000   -3498.40
       276.250000      1.170000   -3455.60
       277.250000      1.170000   -3212.00
       278.250000      1.170000   -3759.00
       279.250000      1.170000   -2597.40
       280.250000      1.170000    -280.40
       281.250000      1.170000      49.80
       282.250000      1.170000    3306.80
       283.250000      1.170000    2010.20
       284.250000      1.170000     237.00
       285.250000      1.170000     215.00
       286.250000      1.170000     240.00
       287.250000      1.170000     231.20
       288.250000      1.170000     208.40
       289.250000      1.170000     203.00
       290.250000      1.170000     172.60
       291.250000      1.170000     139.60
       292.250000      1.170000     110.60
       293.250000      1.170000      97.80
       294.250000      1.170000     554.40
       295.250000      1.170000     857.80
       296.250000      1.170000    1031.20
       297.250000      1.170000      81.80
       298.250000      1.170000      51.60
       299.250000      1.170000      63.40
       300.250000      1.170000     226.60
       301.250000      1.170000     381.20
       302.250000      1.170000     373.60
       303.250000      1.170000     250.00
       304.250000      1.170000     310.20
       305.250000      1.170000     359.00
       306.250000      1.170000     343.20
       307.250000      1.170000     174.40
       308.250000      1.170000     124.00
       309.250000      1.170000      17.00
       310.250000      1.170000      -1.20
       311.250000      1.170000     -14.00
       312.250000      1.170000     -47.40
       313.250000      1.170000     -54.80
       314.250000      1.170000   -3037.00
       315.250000      1.170000   -4106.40
       316.250000      1.170000   -4043.00
       317.250000      1.170000   -4232.20
       318.250000      1.170000   -4322.20
       319.250000      1.170000   -4309.00
       320.250000      1.170000   -4433.60
       321.250000      1.170000   -4407.60
       322.250000      1.170000   -3967.00
       323.250000      1.170000   -4248.40
       324.250000      1.170000   -3945.60
       325.250000      1.170000   -3761.60
       326.250000      1.170000   -3818.00
       327.250000      1.170000   -3190.00
       276.250000      0.170000   -3107.40
       277.250000      0.170000   -2817.60
       278.250000      0.170000   -1569.20
       279.250000      0.170000   -1859.80
